episode,total_reward,avg_reward,steps,negative_steps,min_step_reward,max_step_reward,final_portfolio,epsilon
1,0.022429392296618507,3.0474717794318622e-05,736,366,-0.07948840902014633,0.09339775046540638,9552.136041660582,0.995
2,0.6244075885640076,0.0008483798757663146,736,365,-0.050219040222826895,0.10211209101166126,17648.747962485788,0.990025
3,0.10530826640239939,0.0001430818836989122,736,361,-0.12764532118771246,0.11768670527009668,10198.992924678014,0.985074875
4,0.03372468940922375,4.582158887122792e-05,736,364,-0.07049340969523986,0.08205198713342801,9709.542829474767,0.9801495006250001
5,0.24566587836885187,0.0003337851608272444,736,365,-0.057666457810211194,0.09016113334374622,11931.430767693308,0.9752487531218751
6,0.2920902017183247,0.00039686168711728905,736,363,-0.0975090597119341,0.09309410987578774,12514.279523334355,0.9703725093562657
7,-0.025581732387370788,-3.475778856979726e-05,736,361,-0.125150366431236,0.11613942808271586,9022.411182689248,0.9655206468094844
8,0.32070771787647906,0.00043574418189739,736,367,-0.08825447505859245,0.07263633393127976,12839.326065586713,0.960693043575437
9,0.22705616323344835,0.00030850022178457656,736,364,-0.1002219552548429,0.0898181159799108,11773.072535627674,0.9558895783575597
10,0.3849916275191139,0.0005230864504335786,736,367,-0.05243785836667496,0.07705467579772286,13801.032972313285,0.9511101304657719
11,0.49298260650419284,0.0006698133240546099,736,370,-0.10452308028079993,0.094863215100537,15236.967274399354,0.946354579813443
12,0.33985927974830527,0.00046176532574498,736,367,-0.0760838959351526,0.09587806628690006,13196.953569838464,0.9416228069143757
13,0.3897983430139551,0.0005296173138776564,736,368,-0.07491691949586593,0.08854657327199093,13865.986402610935,0.9369146928798039
14,-0.012283012220769192,-1.668887529995814e-05,736,367,-0.0706443699031079,0.07037073934106564,9368.22477274682,0.9322301194154049
15,0.24255440013793744,0.0003295576088830672,736,364,-0.09164637010496485,0.08253471798686932,11834.850286701618,0.9275689688183278
16,0.3035350581917102,0.00041241176384743236,736,366,-0.0734506513646959,0.06206538089166285,12837.881982235023,0.9229311239742362
17,0.23028011730120326,0.0003128805941592436,736,363,-0.07224154163472957,0.10006153253804119,11777.402976436377,0.918316468354365
18,0.4373894051079778,0.0005942790830271437,736,366,-0.11908116221232373,0.10982850175375736,14269.760762835318,0.9137248860125932
19,-0.01322576342736392,-1.796978726544011e-05,736,365,-0.12610106838941254,0.11443210109955136,9150.655147311598,0.9091562615825302
20,0.49364725162972767,0.0006707163744969126,736,364,-0.06941198107245469,0.08168676266932472,15397.369993498833,0.9046104802746175
21,0.13275120794878967,0.00018036848906085554,736,365,-0.12532615742738915,0.11280606200929084,10508.147435985808,0.9000874278732445
22,0.14834802652367746,0.0002015598186463009,736,361,-0.11314687807561957,0.09413522898426264,10671.700180665644,0.8955869907338783
23,0.3088807082788302,0.00041967487537884535,736,363,-0.05589508324317304,0.08142701600905246,12841.309680040808,0.8911090557802088
24,0.20968444622847307,0.00028489734541912103,736,365,-0.11474293371175842,0.10536105390731455,11453.930413263708,0.8866535105013078
25,0.36456129442999446,0.0004953278456929273,736,362,-0.10116648849219516,0.0853390657856346,13479.767347134215,0.8822202429488013
26,0.06736077081577617,9.152278643447849e-05,736,367,-0.10113270661707394,0.0918310892976244,9988.050713874743,0.8778091417340573
27,0.3671131102420273,0.0004987949867418849,736,365,-0.06388929430343016,0.07122871243612948,13620.2518532766,0.8734200960253871
28,0.168250621647292,0.00022860138810773368,736,362,-0.036284765530084695,0.07412800694085983,11295.736482189071,0.8690529955452602
